stock_code,fiscal_year,TFPC1,TFPC2,TFPC3,TFPC4,TFPC7,TFPC12,TFPC15,TFPC17,TFPC20,TFPC26,neg_TFPC2
140,2022,0.6366123869624208,0.02295546015291921,0.1687032829089621,0.1844690610283894,0.03797205311109906,-0.09958469518304047,-0.10954005718155772,0.028537553407580605,0.010654544164622713,-0.0643784541198654,-0.02295546015291921
140,2023,0.6607120958210654,0.0759052660268458,0.07882234155027157,0.12737212087241764,0.13489986645914503,-0.12454111327488566,-0.14401120808969956,0.06493563442410395,0.023901774022091735,0.014878551044635147,-0.0759052660268458
140,2024,0.6471268662043073,0.15787336953541412,0.06740686387557195,0.07007207362051912,0.1410536412568778,-0.11922726517460162,-0.15734248985364363,0.05734321667215888,0.03846247503411562,0.014356444771852741,-0.15787336953541412
150,2022,0.5147211034573583,-0.45480439621205593,0.05602398323785842,-0.09253210339772706,-0.08888369599345647,0.12828584732063353,-0.03523271759302837,0.009149003951074612,0.0736702817082954,0.0804226563434382,0.45480439621205593
150,2023,0.534702902267781,-0.4519091454505295,0.04474166325297072,-0.0646848284600879,-0.06951813118629531,0.16868122697233548,-0.04371497951084155,-0.01570206604158777,0.08912029475817879,0.06948399691391553,0.4519091454505295
150,2024,0.5459110159192517,-0.47402183823044736,0.05418334598933021,-0.07078419764110196,-0.05098246713709699,0.14308065783352814,-0.017931137983166864,-0.014624241949811831,0.11129850670888436,0.08185965032339801,0.47402183823044736
180,2022,0.580360793549087,-0.34219318421627704,0.17400872549397967,0.11263504241124217,0.07387714518068499,-0.29457031755480206,0.07862869531982858,0.042286150966604485,-0.016906062430868268,0.019392580237237687,0.34219318421627704
180,2023,0.5706452872928324,-0.349322503226489,0.19676431405011374,0.12517982092193844,0.10923178489093861,-0.3031512584383115,0.06467282579002498,0.031618714656379054,0.01378063769939025,0.01725350507414534,0.349322503226489
180,2024,0.5929257649229189,-0.25685246905361614,0.13869227543520124,0.18565076463935062,0.05336694300224688,-0.23094362636099985,0.06802449849242248,-0.018746417262340314,-0.013687094650899574,-0.0008769232144129745,0.25685246905361614
210,2022,0.5866429653131648,-0.501744513206824,0.06547457294125149,0.023362963330997705,0.1844826634391571,-0.11260274640903772,0.009274433914110071,-0.04029452206950519,0.07832630174112845,-0.012940958237372877,0.501744513206824
210,2023,0.5692777680787121,-0.47793058243322123,0.1093228593615371,0.04737410668357204,0.2015337471696714,-0.08972086923057712,0.009027590348337472,-0.048602637642202205,0.09396921160663901,-0.0001373473385426819,0.47793058243322123
210,2024,0.5400004631773747,-0.509475786199061,0.10991006821450414,0.044137396248806124,0.20740022931051938,-0.06960976387602603,0.0038967397017625415,-0.03575652714362618,0.08972471106089365,-0.008797687344937409,0.509475786199061
220,2022,0.40223797836990116,0.08835237102431649,-0.13773136999376268,0.14609731050732946,0.14049897107417333,0.09824943302217809,-0.06284496941104224,-0.034320380801900016,-0.06568221173645315,0.00457988412461434,-0.08835237102431649
220,2023,0.3542450123480438,0.2340211263762937,-0.033511434958417324,0.053109544838279434,0.2589832504141433,0.08968163575070943,-0.14116585184264152,-0.007211307496496115,0.05941032960829557,0.16048758137341756,-0.2340211263762937
220,2024,0.3542450123480438,0.2340211263762937,-0.033511434958417324,0.053109544838279434,0.2589832504141433,0.08968163575070943,-0.14116585184264152,-0.007211307496496115,0.05941032960829557,0.16048758137341756,-0.2340211263762937
230,2022,0.5309314759149794,0.10706370158385096,-0.06412849341103659,0.27847816526944674,0.15115281497832594,-0.08942031048452131,-0.10767925156047575,0.16021780667700214,0.024150443806243704,-0.05019083063069137,-0.10706370158385096
230,2023,0.5341682865843523,0.153207726737292,-0.0413612153951476,0.24097966070039298,0.17003244512794294,-0.10182288063249754,-0.12981921084551962,0.164066884252693,0.008468112234103056,-0.05452138629795001,-0.153207726737292
230,2024,0.5699120242161733,0.24896060223808608,-0.05464944155572982,0.22348025697919358,0.24326441824886513,-0.09157416294388776,-0.05356509982960951,0.11389001704768184,-0.051330894560125455,-0.04665898610240034,-0.24896060223808608
240,2022,0.6335694534993381,0.05251196677521018,-0.012947030477123176,-0.0761075492992493,0.13536449590764635,-0.17084794283623142,-0.04787986578143326,0.11195902655076127,-0.011459622603790107,0.019370083444192603,-0.05251196677521018
240,2023,0.5926746982061759,0.11992112991675355,-0.038055848283633446,-0.13691138449402496,0.13623146213128207,-0.19250045669710553,-0.05129651645332476,0.0714886800734556,-0.041971350286540664,0.03520857183364398,-0.11992112991675355
240,2024,0.5617758515893689,-0.2113970101497315,0.008186318990040136,-0.14084662272178725,0.05522040555258358,-0.1888290837982305,0.03829084368128663,0.04548941177666666,-0.09416364558651986,0.0035386333029734317,0.2113970101497315
250,2022,0.27569999282195934,-0.024434414436972245,-0.049595924879942875,0.1932628907913182,-0.11608944686404235,-0.09483904582872095,-0.15146858086851117,-0.1721553626411404,-0.11012111406606934,-0.09071543323162153,0.024434414436972245
250,2023,0.2665766629459472,-0.01669202020750724,-0.05009696344953298,0.2587211365624409,-0.08245251922923785,-0.0641407166591977,-0.16656461558548252,-0.16762555134452295,-0.12841306982620856,-0.12110785241938189,0.01669202020750724
250,2024,0.36274577984164524,-0.03193268898099745,-0.0026327347076193757,0.17915270180768095,-0.0339435129297622,-0.06566792128487957,-0.1908940811647018,-0.18755475310197744,-0.12867888487629855,-0.1450633057888886,0.03193268898099745
270,2022,0.614846772111092,-0.238829098983525,0.21284944062263675,-0.05159530041362319,0.08953707985711992,0.14025789281383788,0.033244534560214825,-0.024122410957757127,0.13210899992138794,-0.03318014116145453,0.238829098983525
270,2023,0.6002631575144725,-0.22933491586364185,0.23951090846150158,-0.061077985168770464,0.06446693116339991,0.1383534496873916,0.028096969167458463,-0.05256106514149838,0.16434558530381277,-0.023615634130592325,0.22933491586364185
270,2024,0.5934695402572457,-0.20656111080390138,0.24810419062457878,-0.06871011950759605,0.05865353781313517,0.11739859128385992,0.03729255478268503,-0.04885686394892212,0.169104908217751,-0.016459101947187617,0.20656111080390138
