company_name,stock_code,corp_code,fiscal_year,fs_div,status,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,업종구분
CJ제일제당,97950,635134,2023,CFS,ok,29023472909000.0,1291582413000.0,559462096000.0,29606279551000.0,17826337301000.0,11779942250000.0,비금융업
CJ제일제당,97950,635134,2024,CFS,ok,29359081823000.0,1553017638000.0,361835555000.0,30149997467000.0,17907211781000.0,12242785686000.0,비금융업
CJ프레시웨이,51500,127954,2022,CFS,ok,2747691651727.0,97840086516.0,52243125151.0,1484726893096.0,1080671194761.0,404055698335.0,비금융업
CJ프레시웨이,51500,127954,2023,CFS,ok,3074242286759.0,99255535636.0,59700224939.0,1374744040154.0,1005243973827.0,369500066327.0,비금융업
CJ프레시웨이,51500,127954,2024,CFS,ok,3224779013185.0,94025267830.0,27405072378.0,1564362058881.0,1148980725062.0,415381333819.0,비금융업
CS홀딩스,590,149026,2022,CFS,ok,175266452048.0,15632045335.0,18788497648.0,364121570785.0,33693421213.0,330428149572.0,비금융업
CS홀딩스,590,149026,2023,CFS,ok,171965239524.0,19128717935.0,22145557927.0,383909710687.0,36702819606.0,347206891081.0,비금융업
CS홀딩스,590,149026,2024,CFS,ok,141950747269.0,22314081505.0,37853224906.0,412586797943.0,35090175721.0,377496622222.0,비금융업
DB하이텍,990,160843,2022,CFS,ok,1675287533666.0,768746685740.0,558836662217.0,2122700474808.0,484416396415.0,1638284078393.0,비금융업
DB하이텍,990,160843,2023,CFS,ok,1154223638940.0,265437456373.0,264149250979.0,2043378694132.0,303296256385.0,1740082437747.0,비금융업
DB하이텍,990,160843,2024,CFS,ok,1131167709804.0,190838683363.0,229385888355.0,2396851168578.0,396162364261.0,2000688804317.0,비금융업
DL,210,109693,2022,CFS,ok,5174950425108.0,287459456441.0,101846515303.0,12018993889708.0,7401228917375.0,4617764972333.0,비금융업
DL,210,109693,2023,CFS,ok,5017815821242.0,150696391721.0,-120978168525.0,12119563559885.0,7586162395568.0,4533401164317.0,비금융업
DL,210,109693,2024,CFS,ok,5615368498981.0,412518392958.0,94839002886.0,12535315407584.0,7749224680441.0,4786090727143.0,비금융업
GS글로벌,1250,138190,2022,CFS,ok,5070923117354.0,70467603982.0,68061370179.0,1419412958453.0,1012698524738.0,406714433715.0,비금융업
GS글로벌,1250,138190,2023,CFS,ok,3916492566786.0,76519058573.0,26078650864.0,1401098380370.0,953110256832.0,447988123538.0,비금융업
GS글로벌,1250,138190,2024,CFS,ok,4066493928000.0,77879797000.0,56067654000.0,1439641460000.0,872554135000.0,567087325000.0,비금융업
GS리테일,7070,140177,2022,CFS,ok,11226428523558.0,245131973064.0,47609804762.0,9832423124845.0,5412417744683.0,4420005380162.0,비금융업
GS리테일,7070,140177,2023,CFS,ok,11612547920738.0,393955339623.0,22147526377.0,10042015942614.0,5608276834883.0,4433739107731.0,비금융업
GS리테일,7070,140177,2024,CFS,ok,11626920274913.0,239104876913.0,9791708542.0,7581643378910.0,4400125241585.0,3181518137325.0,비금융업
HL D&I,14790,161116,2022,CFS,ok,1472088271680.0,52621392074.0,25099610222.0,1667421795499.0,1240232282310.0,427189513189.0,비금융업
HL D&I,14790,161116,2023,CFS,ok,1571977582483.0,50663745426.0,30678156227.0,1724300709671.0,1268702893325.0,455597816346.0,비금융업
HL D&I,14790,161116,2024,CFS,ok,1578826536286.0,57892143574.0,21400499991.0,1702996461973.0,1228285239092.0,474711222881.0,비금융업
JW중외제약,1060,149947,2022,CFS,ok,684351099249.0,62960870729.0,29852560173.0,627972755001.0,402213719428.0,225759035573.0,비금융업
JW중외제약,1060,149947,2023,CFS,ok,748526707817.0,100303770111.0,38430259560.0,645038796101.0,379598339300.0,265440456801.0,비금융업
JW중외제약,1060,149947,2024,CFS,ok,719375756340.0,82488136816.0,65040120873.0,604598517283.0,275111775158.0,329486742125.0,비금융업
KG케미칼,1390,101220,2022,CFS,ok,6607355088852.0,501083594243.0,952792172095.0,6981908974784.0,3741042484468.0,3240866490316.0,비금융업
