stock_code,fiscal_year,E_consistency,G_consistency,S_consistency,ESG_consistency,E_greenwash_flag,G_greenwash_flag,S_greenwash_flag,z_E_intensity,z_E_content,z_E_semantic,z_G_intensity,z_G_content,z_G_semantic,z_S_intensity,z_S_content,z_S_semantic
000520,2024,-0.07270027433215537,-0.8118175920835685,-0.5939533691850631,-0.49282374520026234,0,0,0,-1.2641618509404342,-1.2749965897617073,-1.395149702511163,1.201881366228585,-0.3882555996660463,0.12266198900033916,-2.3585545755826787,-1.2749965897617073,-1.395149702511163
000540,2022,-0.10746216442766628,-0.6523159135138186,-1.1888195028442157,-0.6495325269285669,0,0,1,-1.2641618509404342,-1.400124856449807,-1.187991016911841,0.9036508719609885,-0.06055144741096652,1.1826565172363186,0.756825984125145,-1.400124856449807,-1.187991016911841
000540,2023,-0.32686795294505694,-1.486555060172671,-1.0206739655704562,-0.9446989928960613,0,1,0,-1.2641618509404342,-1.9176083849413146,-1.5740418287979214,1.886681103544675,-0.16164070161619287,2.7287520133744283,-0.0031841375059374235,-1.9176083849413146,-1.5740418287979214
000540,2024,-0.3707433892565957,-0.9408493442685302,-1.0121410036986032,-0.7745779124079096,0,0,0,-1.2641618509404342,-1.9088992892475398,-1.90368543568223,1.5625735050154341,-0.13571338586143605,1.4151840713492154,-0.1532185346121338,-1.9088992892475398,-1.90368543568223
000590,2022,-0.07007503305870205,-0.6738541328731718,-0.6776360508984589,-0.4738550722767776,0,0,0,-1.2641618509404342,-1.1338213182511152,-1.2436014481713673,1.0013233906241263,0.3088603540434233,-0.3462119698629065,-2.3585545755826787,-1.1338213182511152,-1.2436014481713673
000590,2024,-0.14797714630932848,-0.7370095750013829,-0.7776531582211806,-0.5542132931772973,0,0,0,-1.2641618509404342,-1.040513258203075,-0.9844754453436553,0.7601287470955136,0.3046273704244047,-0.6816805118284621,-2.3585545755826787,-1.040513258203075,-0.9844754453436553
000640,2022,-0.2275467268562427,-0.4804520015676878,-0.48509188228859834,-0.3976968702375096,0,0,0,-0.7776978528832325,-0.5830659664210233,-0.32412166728976455,-0.0911039489055013,-0.3035149033729938,-1.0088903323019351,0.3561303894318159,-0.5830659664210233,-0.32412166728976455
000640,2023,-0.2599042381506264,-0.39169453161401185,-0.3555877112009466,-0.3357288269885283,0,0,0,-0.8136193585821795,-0.4518091058516331,-0.3094950422076091,0.0043273528046301225,-0.19880844573754267,-0.7524700511454929,0.2227863168092673,-0.4518091058516331,-0.3094950422076091
000640,2024,-0.3786849677077911,-0.36282957206845257,-0.24127424723411542,-0.32759626233678635,0,0,0,-1.2641618509404342,-0.6438074799798121,-0.577717134139534,0.1544094484811843,-0.5451513955826628,-0.36239451737506817,-0.19680115335657314,-0.6438074799798121,-0.577717134139534
000650,2022,-0.5930745562333963,-0.5998627800579375,-0.761773644154869,-0.651570326815401,0,0,0,-0.3432262972294222,-1.5164442786739534,-0.7785674335815849,1.3742329265918283,0.19081516028295514,0.6117966071979265,0.006855688577513757,-1.5164442786739534,-0.7785674335815849
000650,2023,-0.5871322067093923,-0.5136500909872997,-0.7253966157439637,-0.6087263044802186,0,0,0,-0.39152514408387135,-1.5473657341014024,-0.7900099846326395,1.3300860758794575,0.32131703402322315,0.9939216876885517,-0.09704895005178742,-1.5473657341014024,-0.7900099846326395
000650,2024,-0.5712216437295018,-0.5700815174962045,-0.7233948119845949,-0.6215659910701005,0,0,0,-0.3822952067413329,-1.5212575023825385,-0.8746001559908244,1.3551779082451811,0.2610353165281764,0.5304056914025687,-0.07709170039102001,-1.5212575023825385,-0.8746001559908244
000660,2022,-0.3282188822773814,-1.0754085545026384,-0.871601188490795,-0.7584095417569383,0,0,0,1.4466340254704346,0.9018796399481939,0.8570583165700437,-0.6641130676387239,0.843663571227046,1.4181079972914419,-0.629689456784622,0.9018796399481939,0.8570583165700437
000660,2023,-0.25694773740428695,-0.9052545274651672,-0.637030327019227,-0.5997441972962271,0,0,0,1.2958308504312563,0.8062280491765001,0.9158139106666586,-0.7611781605630755,0.8945423361368421,0.7010317595723922,-0.2382588374351139,0.8062280491765001,0.9158139106666586
000660,2024,-0.08476993294050578,-1.1736632846578017,-0.8928800898778394,-0.7171044358253823,0,0,0,1.389751556082678,1.2331011663733529,1.2552719656284639,-1.0770503812191696,0.6074603033603425,1.180928921599021,-0.30220792003623087,1.2331011663733529,1.2552719656284639
000670,2022,-0.32730805129562335,-0.8190221585611023,-0.8513696608760769,-0.6658999569109342,0,0,0,1.0162410721366035,1.6692957655936256,1.303635864078448,-1.1660119498535289,-0.7498963248516181,0.4140982408802017,0.046253842347725616,1.6692957655936256,1.303635864078448
000670,2023,-0.41744648162960907,-0.7283547098366853,-0.8087802451328165,-0.651527145533037,0,0,0,0.8740308201829361,1.708531648893668,1.3134390827110118,-1.6828607811528091,-0.857808359985863,-0.23063840015763057,0.1525661179772439,1.708531648893668,1.3134390827110118
000670,2024,-0.4389076845043984,-0.7999012485411161,-0.43698512009976415,-0.5585980177150929,0,0,0,0.6160297610038681,0.7506522284745587,-0.06787632401090354,-0.21761962450489303,-0.6185216134959994,0.9231915547262791,0.6066731612811757,0.7506522284745587,-0.06787632401090354
000680,2022,-0.3578190583772601,-0.4879671205789535,-0.17781754623340074,-0.3412012417298714,0,0,0,0.6573507104050209,0.001324720728965159,0.08169712667629686,0.41933601236672763,-0.5477084870637063,0.04963131133953557,-0.25850981977535054,0.001324720728965159,0.08169712667629686
000680,2023,-0.3732305962553899,-0.36298617097010943,-0.2879769485488508,-0.3413979052581167,0,0,0,0.5583427852714302,-0.1727632728531219,0.06234366476274159,0.6418051333113118,-0.07856558773395765,0.20366851146364523,0.400131512551701,-0.1727632728531219,0.06234366476274159
000680,2024,-0.35463352492416667,-0.3484240333365692,-0.3162643147667853,-0.33977395767584034,0,0,0,0.4959820879002829,-0.19990399527863123,0.02928833924408589,0.3439362920969809,-0.14814806603683037,0.5251968855223612,-0.5958687996276504,-0.19990399527863123,0.02928833924408589
000700,2022,-0.18154307747170875,-0.3394560928464674,-0.6878619951452344,-0.4029537218211368,0,0,0,-1.2641618509404342,-1.0387143824382365,-0.9049553664954131,0.6057144348526375,0.7442196362288146,0.09937729553003324,0.21393228958185675,-1.0387143824382365,-0.9049553664954131
000700,2023,-0.1483952526152688,-0.4594741652650361,-0.7168114393214831,-0.44156028573392936,0,0,0,-1.2641618509404342,-1.5608271423533862,-1.4199598599602097,1.168886267963022,0.5336984121619343,0.27618207540002454,-0.25484778156978916,-1.5608271423533862,-1.4199598599602097
000720,2022,-0.36447167306600736,-0.7282453648838426,-0.2987550703972121,-0.46382403611568734,0,0,0,0.9618892095321179,0.774741205687007,0.25819184312071053,-0.6310031432977949,0.5776758182859302,0.6771440600242122,0.2563774179645577,0.774741205687007,0.25819184312071053
000720,2023,-0.31334151690890755,-0.9112928610612779,-0.4105873919294883,-0.5450739232998912,0,0,0,0.9718044557802682,0.651473575883869,0.34517378219195627,-0.8734279965782007,0.693974329185708,0.7157553186548576,-0.16151065359611783,0.651473575883869,0.34517378219195627
000720,2024,-0.20178341247698264,-1.1136444069132356,-0.4130178438115109,-0.5761485544005763,0,0,0,1.1743650219332935,1.0264390081998842,0.775228126972425,-1.1635517232467338,0.6758750580293507,0.8438166827296391,0.21934913065100245,1.0264390081998842,0.775228126972425
