stock_code,company_name,fiscal_year,corp_code,CAPEX
000970,한국주철관공업,2023,00159573,4421447790.0
000970,한국주철관공업,2024,00159573,4381772138.0
001080,만호제강,2022,00120872,541331514.0
001080,만호제강,2023,00120872,2926271486.0
001080,만호제강,2024,00120872,829905780.0
001140,국보,2022,00104519,340794899.0
001140,국보,2023,00104519,281983693.0
001140,국보,2024,00104519,7087275.0
001210,금호전기,2022,00106395,609537322.0
001210,금호전기,2023,00106395,511685158.0
001210,금호전기,2024,00106395,165574505.0
001260,남광토건,2022,00107066,463363732.0
001260,남광토건,2023,00107066,471662325.0
001260,남광토건,2024,00107066,793383455.0
001340,백광산업,2022,00122472,61175641732.0
001340,백광산업,2023,00122472,41155119922.0
001340,PKC,2024,00122472,46655903398.0
001360,삼성제약,2022,00126414,2042040942.0
001360,삼성제약,2023,00126414,774452645.0
001360,삼성제약,2024,00126414,328530000.0
001380,SG글로벌,2022,00152039,143575451.0
001380,SG글로벌,2023,00152039,9400000.0
001380,SG글로벌,2024,00152039,91185000.0
001420,태원물산,2022,00154055,
001420,태원물산,2023,00154055,
001420,태원물산,2024,00154055,
001470,삼부토건,2022,00125974,98640965.0
001470,삼부토건,2023,00125974,151700025.0
001470,삼부토건,2024,00125974,309895011.0
001530,디아이동일,2022,00118345,33102684782.0
001530,디아이동일,2023,00118345,45699758511.0
001530,디아이동일,2024,00118345,32386031132.0
